"","x"
"1264608",286
"1453957",285
"1277233",285
"245007",285
"1436162",285
"451762",284
"747765",284
"615445",284
"1273092",284
"509570",284
"469866",284
"793099",284
"832280",284
"748964",284
"434849",284
"1650506",284
"1477099",284
"712228",283
"376755",283
"627030",283
"278043",283
"343248",283
"175725",283
"670987",283
"244435",282
"1208180",282
"541681",282
"312865",282
"147900",282
"480342",282
"659731",282
"95472",282
"561102",282
"1038275",282
"778991",282
"691206",282
"1475066",282
"582068",282
"856139",282
"1244782",282
"1648168",281
"447018",281
"736933",281
"369492",281
"665505",281
"272423",280
"316722",280
"908877",280
"241351",280
"304692",280
"1747645",280
"732193",280
"1624716",280
"202931",280
"276894",280
"291196",280
"802238",280
"163741",279
"718654",279
"597357",279
"611248",279
"345160",279
"159899",279
"986292",279
"1172336",279
"1082528",279
"151169",278
"509286",278
"635956",278
"536580",278
"941778",278
"255206",278
"310098",278
"843194",277
"751825",277
"803890",277
"329765",277
"1079353",277
"602372",277
"702499",277
"1257772",277
"717376",277
"372505",276
"473433",276
"474847",276
"318490",276
"355132",276
"1184139",276
"941889",276
"81709",276
"482902",276
"829520",276
"725416",276
"603942",276
"786120",275
"1530763",275
"1345308",275
"966559",275
"1320397",275
"372822",275
"1013019",275
"1327161",275
"608998",274
"704498",274
"1094306",274
"530099",274
"193282",274
"1059320",274
"794284",274
"705081",274
"732906",274
"1405654",274
"1731181",274
"1587225",274
"265137",273
"688792",273
"742548",273
"423389",273
"467637",273
"145793",273
"1116227",273
"1352896",273
"365209",273
"297483",273
"858231",273
"1029058",273
"1308461",273
"1462609",273
"563068",272
"69890",272
"578177",272
"930187",272
"406359",272
"152869",272
"734386",272
"1254041",272
"700843",272
"826779",272
"1238633",272
"724744",272
"1023369",272
"840404",271
"112276",271
"669746",271
"701659",271
"1023911",271
"899862",271
"607842",271
"636264",271
"411371",271
"938412",270
"465715",270
"28202",270
"166819",270
"349926",270
"826032",270
"937588",270
"188920",270
"1539901",270
"308877",270
"1589869",270
"921018",270
"1230705",270
"959622",270
"722905",270
"1471833",270
"1560537",270
"669961",269
"144507",269
